"","Country","Year","Code","Region","Income_Group","Pov_1.90","Pov_3.20","Pov_5.50","GDP_Pc","Private_Credit","Mean_Inc","Gov_Cons","Expenses","Inflation","Gini","Exports","Imports","Pop_Growth","Schooling","ATM","Bank_Acc","Bank_Branch"
"4333","Not classified","1976","INX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4334","Ireland","1976","IRL","Europe & Central Asia","High income",NA,NA,NA,14631.5158338234,35.3225,NA,20.0915714362525,35.274592444989,21.0229337882088,NA,41.3605249406686,49.76877327182,1.50914557515468,74.77181,NA,NA,NA
"4335","Iran","1976","IRN","Middle East & North Africa","Upper middle income",NA,NA,NA,10265.7002152486,26.3412,NA,21.4325059368983,29.4211989683164,16.015550649693,NA,37.2050049387425,28.230076186741,3.03089072583308,NA,NA,NA,NA
"4336","Iraq","1976","IRQ","Middle East & North Africa","Upper middle income",NA,NA,NA,2104.66084927433,6.64122,NA,22.0694259012016,NA,12.5858647063145,NA,57.369826435247,35.9126454320046,3.2300448240481,26.26112,NA,NA,NA
"4337","Iceland","1976","ISL","Europe & Central Asia","High income",NA,NA,NA,NA,25.1029,NA,16.5747134377738,22.8518867658473,NA,NA,34.5385726131468,34.1490258744969,0.992857359283411,NA,NA,NA,NA
"4338","Israel","1976","ISR","Middle East & North Africa","High income",NA,NA,NA,16732.8827020061,37.3739,NA,38.5545443314253,59.3007453774245,31.3729378001729,NA,27.6786229049129,43.4097928592019,2.23249111573749,NA,NA,NA,NA
"4339","Italy","1976","ITA","Europe & Central Asia","High income",NA,NA,NA,21340.7658036232,64.7798,NA,15.4308549139157,30.1091725752853,17.4542765889196,NA,20.1072474403287,21.2113045148073,0.498851058340731,NA,NA,NA,NA
"4340","Jamaica","1976","JAM","Latin America & Caribbean","Upper middle income",NA,NA,NA,4260.09596321506,27.7506,NA,20.8463143764395,NA,11.131130100211,NA,29.0461366654108,37.8912638292265,1.33968167221661,57.82237,NA,NA,NA
"4341","Jordan","1976","JOR","Middle East & North Africa","Upper middle income",NA,NA,NA,2011.5541877515,29.6902,NA,33.5096069099242,NA,4.69389147014925,NA,32.3814560197427,79.7637934073682,2.73271499648335,NA,NA,NA,NA
"4342","Japan","1976","JPN","East Asia & Pacific","High income",NA,NA,NA,22464.0862125623,116.456,NA,14.7290400438928,13.7250801345548,8.00788648559028,NA,12.9968270671882,12.3294351617813,0.739620034829887,NA,NA,NA,NA
"4343","Kazakhstan","1976","KAZ","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18017502663262,NA,NA,NA,NA
"4344","Kenya","1976","KEN","Sub-Saharan Africa","Lower middle income",NA,NA,NA,784.998119574017,17.8994,NA,17.4601025041277,NA,18.9061718696731,NA,32.4504712438085,31.7556377270226,3.71231231404425,NA,NA,NA,NA
"4345","Kyrgyz Republic","1976","KGZ","Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99372122298973,NA,NA,NA,NA
"4346","Cambodia","1976","KHM","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60427242504486,NA,NA,NA,NA
"4347","Kiribati","1976","KIR","East Asia & Pacific","Lower middle income",NA,NA,NA,3246.89169080399,NA,NA,25.3002378121284,NA,9.17210971660214,NA,56.4001189060642,35.7015457788347,1.45396907561599,NA,NA,NA,NA
"4348","St. Kitts and Nevis","1976","KNA","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28951436127399,NA,NA,NA,NA
"4349","Korea Rep.","1976","KOR","East Asia & Pacific","High income",NA,NA,NA,2962.75281499353,33.2031,NA,10.8671218050121,14.6254821968751,21.2940262803072,NA,25.5571281880498,28.3906419115811,1.59655859407233,53.28468,NA,NA,NA
"4350","Kuwait","1976","KWT","Middle East & North Africa","High income",NA,NA,NA,NA,18.6997,NA,11.2586920853192,NA,0.931851561984871,NA,77.9331692580149,32.5546266635414,6.08176704369376,NA,NA,NA,NA
"4351","Latin America & Caribbean (excluding high income)","1976","LAC",NA,NA,NA,NA,NA,5974.69393132096,NA,NA,11.2978648985289,NA,9.49371359594669,NA,11.6838640890543,13.6629732273643,2.49440745379808,NA,NA,NA,NA
"4352","Lao PDR","1976","LAO","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54122601039792,NA,NA,NA,NA
"4353","Lebanon","1976","LBN","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,172.018,NA,NA,NA,NA,NA,NA,NA,0.87607082409805,NA,NA,NA,NA
"4354","Liberia","1976","LBR","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86841086552391,NA,NA,NA,NA
"4355","Libya","1976","LBY","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,13.8165,NA,NA,NA,NA,NA,NA,NA,4.05834757745206,41.50767,NA,NA,NA
"4356","St. Lucia","1976","LCA","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,43.0208,NA,NA,NA,NA,NA,NA,NA,1.30241639742456,NA,NA,NA,NA
"4357","Latin America & Caribbean","1976","LCN",NA,NA,NA,NA,NA,6097.15651251218,NA,NA,11.3854141619921,NA,9.04631723531762,NA,12.6731387749209,14.2994014683556,2.35895845698195,NA,NA,NA,NA
"4358","Least developed countries: UN classification","1976","LDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5496020847715,NA,NA,NA,2.46633636875886,12.07533,NA,NA,NA
"4359","Low income","1976","LIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92709445294086,NA,NA,NA,2.55476985367329,NA,NA,NA,NA
"4360","Liechtenstein","1976","LIE","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,2.23042518933619,NA,NA,NA,2.08631242232802,NA,NA,NA,NA
"4361","Sri Lanka","1976","LKA","South Asia","Lower middle income",NA,NA,NA,780.189134592947,12.1453,NA,10.0023176505645,NA,9.9755731534555,NA,29.0467834321094,31.3809886435122,1.85583116580881,NA,NA,NA,NA
"4362","Lower middle income","1976","LMC",NA,NA,NA,NA,NA,770.245729383935,NA,NA,11.3908254300849,NA,10.0521444001069,NA,14.0627938811232,16.7360998787947,2.37772124642707,NA,NA,NA,NA
"4363","Low & middle income","1976","LMY",NA,NA,NA,NA,NA,1624.07179864349,NA,NA,12.4596723402959,NA,10.0377075794194,NA,11.817603108688,12.8333803619225,2.07648233557305,NA,NA,NA,NA
"4364","Lesotho","1976","LSO","Sub-Saharan Africa","Lower middle income",NA,NA,NA,426.249115029433,5.28372,NA,14.797507788162,NA,4.54294727385278,NA,17.9127725856698,138.629283489097,2.496570126148,NA,NA,NA,NA
"4365","Late-demographic dividend","1976","LTE",NA,NA,NA,NA,NA,1796.03858842742,NA,NA,12.5979758520454,NA,7.99564412294897,NA,10.6369509246254,10.5289264135181,1.60923402431091,NA,NA,NA,NA
"4366","Lithuania","1976","LTU","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814807301678743,NA,NA,NA,NA
"4367","Luxembourg","1976","LUX","Europe & Central Asia","High income",NA,NA,NA,39452.0962191387,80.8856,NA,15.0909271287223,29.2463191877232,12.2156821209717,NA,87.3150062450903,74.5240560169783,0.494942519180953,56.31357,NA,NA,NA
"4368","Latvia","1976","LVA","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603153487739212,NA,NA,NA,NA
"4369","Macao SAR","1976","MAC","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05802161460736,NA,NA,NA,NA
"4370","St. Martin (French part)","1976","MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7286902700447,NA,NA,NA,NA
"4371","Morocco","1976","MAR","Middle East & North Africa","Lower middle income",NA,NA,NA,1263.06424117877,15.1559,NA,21.6710737557843,20.8305789026348,4.97659389266501,NA,17.9150533572575,36.729388988573,2.26061101738949,NA,NA,NA,NA
"4372","Monaco","1976","MCO","Europe & Central Asia","High income",NA,NA,NA,99957.781178152,NA,NA,NA,NA,10.8085737126081,NA,NA,NA,1.28550666148926,NA,NA,NA,NA
"4373","Moldova","1976","MDA","Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00995502684135,NA,NA,NA,NA
"4374","Madagascar","1976","MDG","Sub-Saharan Africa","Low income",NA,NA,NA,631.81266235018,16.5549,NA,11.2124739950269,NA,9.92709445294086,NA,15.1637418440442,17.5247008031125,2.8368562027463,NA,NA,NA,NA
"4375","Maldives","1976","MDV","South Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99173778788744,NA,NA,NA,NA
"4376","Middle East & North Africa","1976","MEA",NA,NA,NA,NA,NA,6532.76523062331,NA,NA,21.2636590986608,NA,9.51181296924759,NA,42.5283508414713,32.2576565253591,2.93313766414447,30.7533,NA,NA,NA
"4377","Mexico","1976","MEX","Latin America & Caribbean","Upper middle income",NA,NA,NA,6426.26002542398,26.9632,NA,11.0077461706783,13.1291028446389,19.3635456879895,NA,8.48983223924143,9.86724288840263,2.83649531243859,NA,NA,NA,NA
"4378","Marshall Islands","1976","MHL","East Asia & Pacific","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74506626601331,NA,NA,NA,NA
"4379","Middle income","1976","MIC",NA,NA,NA,NA,NA,1711.50553229914,NA,NA,12.4303449772498,NA,10.2813590573599,NA,11.7419267407538,12.661642098691,2.036995427119,NA,NA,NA,NA
"4380","Macedonia","1976","MKD","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2424916536833,NA,NA,NA,NA
"4381","Mali","1976","MLI","Sub-Saharan Africa","Low income",NA,NA,NA,434.428121429205,31.4591,NA,8.95748807705214,NA,10.9463376517333,NA,11.0057080159312,21.0311511762762,1.75085982713751,NA,NA,NA,NA
"4382","Malta","1976","MLT","Middle East & North Africa","High income",NA,NA,NA,6440.57462341685,29.7394,NA,16.2653782592729,31.4375587208685,5.0267058745157,NA,75.4141801322071,86.4914042416452,0.508856893781478,71.7188199999999,NA,NA,NA
"4383","Myanmar","1976","MMR","East Asia & Pacific","Lower middle income",NA,NA,NA,180.8788234661,3.84659,NA,NA,NA,10.1287156467584,NA,NA,NA,2.34779524792202,NA,NA,NA,NA
"4384","Middle East & North Africa (excluding high income)","1976","MNA",NA,NA,NA,NA,NA,3901.03974216006,NA,NA,20.7534286879654,NA,9.51181296924759,NA,32.7721880681269,32.6619554221371,2.73718815531632,30.45908,NA,NA,NA
"4385","Montenegro","1976","MNE","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10551246971039,NA,NA,NA,NA
"4386","Mongolia","1976","MNG","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74730027840634,NA,NA,NA,NA
"4387","Northern Mariana Islands","1976","MNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770983358402561,NA,NA,NA,NA
"4388","Mozambique","1976","MOZ","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75015799805724,NA,NA,NA,NA
"4389","Mauritania","1976","MRT","Sub-Saharan Africa","Lower middle income",NA,NA,NA,1211.71747332824,20.9585,NA,56.9269238784739,NA,6.03064097718816,NA,37.9448430825048,77.8949568470132,2.88398397777908,NA,NA,NA,NA
"4390","Mauritius","1976","MUS","Sub-Saharan Africa","Upper middle income",NA,NA,NA,2343.41234702944,21.6104,NA,13.4638445601686,22.1158465597612,NA,NA,50.5529258013877,57.411865482983,1.61326195928039,NA,NA,NA,NA
"4391","Malawi","1976","MWI","Sub-Saharan Africa","Low income",NA,NA,NA,381.170201836729,12.0826,NA,14.1013071895425,NA,10.0377075794194,NA,30.4411764705882,38.8725490196078,3.01296211026156,NA,NA,NA,NA
"4392","Malaysia","1976","MYS","East Asia & Pacific","Upper middle income",NA,NA,NA,2718.79948069816,30.5226,NA,15.8831789211323,NA,12.7261613337029,NA,52.0629311020117,41.5130037386505,2.48903060538555,NA,NA,NA,NA
"4393","North America","1976","NAC",NA,NA,NA,NA,NA,26624.3011701123,NA,NA,17.3103206015288,19.6885683592824,5.48893982610134,NA,9.21496514401809,9.35310556601111,0.991159320333551,NA,NA,NA,NA
"4394","Namibia","1976","NAM","Sub-Saharan Africa","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47390016564474,NA,NA,NA,NA
"4395","New Caledonia","1976","NCL","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,6.54188132325054,NA,NA,NA,1.12571545246345,NA,NA,NA,NA
"4396","Niger","1976","NER","Sub-Saharan Africa","Low income",NA,NA,NA,453.390744006767,11.8439,NA,12.978648460858,NA,12.4163541216819,NA,22.2636539756868,34.3378208255654,2.85401247234869,1.68804,NA,NA,NA
"4397","Nigeria","1976","NGA","Sub-Saharan Africa","Lower middle income",NA,NA,NA,2086.2391697385,6.28264,NA,NA,NA,14.3531853638515,NA,18.2158160733134,23.9222827264657,2.88147442005468,NA,NA,NA,NA
"4398","Nicaragua","1976","NIC","Latin America & Caribbean","Lower middle income",NA,NA,NA,2432.58477689211,23.3626,NA,9.33815749523287,NA,10.4340024679615,NA,32.9947207313356,31.8420421352083,3.07753642650318,NA,NA,NA,NA
"4399","Netherlands","1976","NLD","Europe & Central Asia","High income",NA,NA,NA,28385.22767886,40.8422,NA,21.5951940073533,41.5181982766999,8.99323553058365,NA,48.8871637747063,44.3663587047925,0.784993389027855,80.04422,NA,NA,NA
"4400","Norway","1976","NOR","Europe & Central Asia","High income",NA,NA,NA,41714.7332474735,59.4737,NA,18.867626288121,31.2463351332609,7.84055700241278,NA,35.9705077019565,44.3281884977998,0.469013919500022,NA,NA,NA,NA
"4401","Nepal","1976","NPL","South Asia","Low income",NA,NA,NA,287.934755608825,3.71482,NA,7.43934694399993,NA,0.544042338972076,NA,10.7738301182812,14.1773020247057,2.19177388317443,NA,NA,NA,NA
"4402","Nauru","1976","NRU","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15348022484665,NA,NA,NA,NA
"4403","New Zealand","1976","NZL","East Asia & Pacific","High income",NA,NA,NA,22570.2008588565,13.5497,NA,16.2754079587747,28.4855425135986,20.3147975878487,NA,26.6676209561981,29.2442026910965,0.884790065593746,NA,NA,NA,NA
"4404","OECD members","1976","OED",NA,NA,NA,NA,NA,19692.711770299,NA,NA,17.3180142568161,23.0673452497406,13.5715323079954,NA,15.9220476463394,16.9070017432383,0.912459210566993,NA,NA,NA,NA
"4405","Oman","1976","OMN","Middle East & North Africa","High income",NA,NA,NA,11458.9473187916,11.6563,NA,27.2418862377021,NA,1.30002079545737,NA,62.3317878548004,45.9685740133439,5.01850827408873,NA,NA,NA,NA
"4406","Other small states","1976","OSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00346508241232,32.98406,NA,NA,NA
"4407","Pakistan","1976","PAK","South Asia","Lower middle income",NA,NA,NA,491.381358204297,18.3235,NA,10.8617124889609,NA,11.8558234955919,NA,10.7216050318582,19.374013712988,2.98739362600165,NA,NA,NA,NA
"4408","Panama","1976","PAN","Latin America & Caribbean","Upper middle income",NA,NA,NA,3728.40789342679,60.1435,NA,17.547055646098,NA,4.53451187850322,NA,62.8488786780758,74.2205303801313,2.61549951557639,NA,NA,NA,NA
"4409","Peru","1976","PER","Latin America & Caribbean","Upper middle income",NA,NA,NA,3840.45706736493,16.6544,NA,11.8627940382164,14.2309060948601,29.7129225779556,NA,11.729083378028,19.689793408266,2.6561718246578,NA,NA,NA,NA
"4410","Philippines","1976","PHL","East Asia & Pacific","Lower middle income",NA,NA,NA,1526.66249617439,28.611,NA,10.7923056968344,NA,8.30453904372976,NA,19.3269449968949,25.248602715174,2.78461228698842,NA,NA,NA,NA
"4411","Palau","1976","PLW","East Asia & Pacific","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569962967837813,NA,NA,NA,NA
"4412","Papua New Guinea","1976","PNG","East Asia & Pacific","Lower middle income",NA,NA,NA,1761.93492404704,15.1013,NA,30.2603062122732,NA,19.7180633909326,NA,41.7737311675064,40.7809144652857,2.71400662140644,NA,NA,NA,NA
"4413","Poland","1976","POL","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99779538250044,NA,NA,NA,NA
"4414","Pre-demographic dividend","1976","PRE",NA,NA,NA,NA,NA,1163.55613127397,NA,NA,NA,NA,11.6931910038177,NA,28.1887654916987,28.1759668644251,2.9576855199244,NA,NA,NA,NA
"4415","Puerto Rico","1976","PRI","Latin America & Caribbean","High income",NA,NA,NA,12477.8652733193,NA,NA,17.9838547822403,NA,2.96749897854671,NA,37.3101710411881,60.5646366211003,1.65141896454239,NA,NA,NA,NA
"4416","Korea Dem. People’s Rep.","1976","PRK","East Asia & Pacific","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7058615540172,NA,NA,NA,NA
"4417","Portugal","1976","PRT","Europe & Central Asia","High income",NA,NA,NA,10778.6630671036,59.3752,NA,12.0216800089431,25.9281138443906,16.2741410887445,NA,13.6571540416264,24.0528105524578,2.8440967172144,29.48401,NA,NA,NA
"4418","Paraguay","1976","PRY","Latin America & Caribbean","Upper middle income",NA,NA,NA,2245.74382254726,17.7089,NA,6.26573674843158,NA,4.54050690677936,NA,14.6602263756079,18.0385763468788,2.49879300286602,NA,NA,NA,NA
"4419","West Bank and Gaza","1976","PSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4420","Pacific island small states","1976","PSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05941311567838,NA,NA,NA,NA
"4421","Post-demographic dividend","1976","PST",NA,NA,NA,NA,NA,20536.4997665238,NA,NA,17.3787605604373,23.1711344677819,9.56701319454034,NA,17.2586244157048,18.0410594962597,0.668289673228458,NA,NA,NA,NA
"4422","French Polynesia","1976","PYF","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,9.30693353691225,NA,NA,NA,3.11216787286338,NA,NA,NA,NA
"4423","Qatar","1976","QAT","Middle East & North Africa","High income",NA,NA,NA,NA,10.3122,NA,NA,NA,NA,NA,NA,NA,5.57307710978153,37.62775,NA,NA,NA
"4424","Romania","1976","ROU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20458776216374,NA,NA,NA,NA
"4425","Russian Federation","1976","RUS","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703185038023715,NA,NA,NA,NA
"4426","Rwanda","1976","RWA","Sub-Saharan Africa","Low income",NA,NA,NA,349.000859769966,2.76253,NA,16.6962998500561,NA,-1.89108755941756,NA,14.5789534136094,19.3955073032401,3.17045009203791,NA,NA,NA,NA
"4427","South Asia","1976","SAS",NA,NA,NA,NA,NA,382.261707780924,NA,NA,9.51990023943528,NA,5.98185934188975,NA,7.6512951096687,8.89765530561114,2.37721861161313,NA,NA,NA,NA
"4428","Saudi Arabia","1976","SAU","Middle East & North Africa","High income",NA,NA,NA,37905.1189633422,6.42582,NA,16.8522616623882,NA,16.5535262458881,NA,59.7295742232451,24.2515712135965,5.11558921894303,NA,NA,NA,NA
"4429","Sudan","1976","SDN","Sub-Saharan Africa","Lower middle income",NA,NA,NA,957.682019078957,8.66226,NA,12.1406055974783,NA,6.86602195499273,NA,11.2236125704461,19.142229439297,3.51352764910706,NA,NA,NA,NA
"4430","Senegal","1976","SEN","Sub-Saharan Africa","Low income",NA,NA,NA,1274.30703373148,23.1954,NA,17.3009164167719,NA,3.78921485686543,NA,31.3289435754284,37.0916919299807,2.56921446678482,NA,NA,NA,NA
"4431","Singapore","1976","SGP","East Asia & Pacific","High income",NA,NA,NA,9959.17844956781,60.7746,NA,10.3800185309861,15.4913710929949,1.71529377738435,NA,149.495730540798,156.434851585466,1.347723377756,NA,NA,NA,NA
"4432","Solomon Islands","1976","SLB","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65190231040163,NA,NA,NA,NA
"4433","Sierra Leone","1976","SLE","Sub-Saharan Africa","Low income",NA,NA,NA,477.588760788775,6.89972,NA,8.91206764954185,NA,8.28420529509459,NA,21.5400143529605,28.926456862496,2.28115937717293,NA,NA,NA,NA
"4434","El Salvador","1976","SLV","Latin America & Caribbean","Lower middle income",NA,NA,NA,2925.11846385941,21.2637,NA,12.020890441833,NA,17.6342113884372,NA,35.5438334073293,36.8168761138318,2.1974844570794,NA,NA,NA,NA
"4435","San Marino","1976","SMR","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23380641055972,NA,NA,NA,NA
"4436","Somalia","1976","SOM","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,16.942808964844,NA,14.7313164665514,NA,10.0338400958028,23.843907238736,10.0245324594066,NA,NA,NA,NA
"4437","Serbia","1976","SRB","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4438","Sub-Saharan Africa (excluding high income)","1976","SSA",NA,NA,NA,NA,NA,1508.05248817715,NA,NA,NA,NA,11.1309337674132,NA,23.8672121854041,28.1272497387216,2.82271411789918,NA,NA,NA,NA
"4439","South Sudan","1976","SSD","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51910290148592,NA,NA,NA,NA
"4440","Sub-Saharan Africa","1976","SSF",NA,NA,NA,NA,NA,1508.65986082847,NA,NA,NA,NA,10.9463376517333,NA,23.8607828058034,28.1799422662132,2.82257634050629,NA,NA,NA,NA
"4441","Small states","1976","SST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76321389882463,41.2855,NA,NA,NA
"4442","Sao Tome and Principe","1976","STP","Sub-Saharan Africa","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72029765636718,NA,NA,NA,NA
"4443","Suriname","1976","SUR","Latin America & Caribbean","Upper middle income",NA,NA,NA,6403.55878284167,18.213,NA,NA,NA,-0.190339293612112,NA,NA,NA,-0.356345108838306,NA,NA,NA,NA
"4444","Slovak Republic","1976","SVK","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05791840570578,NA,NA,NA,NA
"4445","Slovenia","1976","SVN","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47591248581357,NA,NA,NA,NA
"4446","Sweden","1976","SWE","Europe & Central Asia","High income",NA,NA,NA,29721.9643071145,72.1102,NA,23.5598518628732,27.0270290905138,11.9189663418038,NA,25.9332486367773,26.7682762956153,0.363686099368844,NA,NA,NA,NA
"4447","Eswatini","1976","SWZ","Sub-Saharan Africa","Lower middle income",NA,NA,NA,1528.02231507092,18.8498,NA,18.2700421940928,NA,13.5702783875818,NA,75.6962025316456,67.5949367088608,3.08335494295771,19.65161,NA,NA,NA
"4448","Sint Maarten (Dutch part)","1976","SXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4449","Seychelles","1976","SYC","Sub-Saharan Africa","High income",NA,NA,NA,5078.45062554343,18.7754,NA,22.2924274128475,NA,9.13417048581304,NA,17.599803060764,79.4923344137639,2.02350889021151,NA,NA,NA,NA
"4450","Syrian Arab Republic","1976","SYR","Middle East & North Africa","Lower middle income",NA,NA,NA,NA,3.94704,NA,20.0606755895434,NA,8.18303321368225,NA,19.9564118922091,34.9650233378354,3.37855550545202,38.50914,NA,NA,NA
"4451","Turks and Caicos Islands","1976","TCA","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63748239780111,NA,NA,NA,NA
"4452","Chad","1976","TCD","Sub-Saharan Africa","Low income",NA,NA,NA,591.145080233515,12.8027,NA,16.6608090233687,NA,8.44952547852465,NA,16.0839281865681,26.3842254852711,2.04075323893329,NA,NA,NA,NA
"4453","East Asia & Pacific (IDA & IBRD countries)","1976","TEA",NA,NA,NA,NA,NA,441.173888821817,NA,NA,12.5163765202881,NA,NA,NA,8.82602441395007,8.54034185580772,1.77269359594435,NA,NA,NA,NA
"4454","Europe & Central Asia (IDA & IBRD countries)","1976","TEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08969041519271,NA,NA,NA,NA
"4455","Togo","1976","TGO","Sub-Saharan Africa","Low income",NA,NA,NA,596.106933982143,21.1522,NA,22.4372973978013,NA,14.2100141053724,NA,47.3047212473611,46.5271509665831,2.21588950934677,NA,NA,NA,NA
"4456","Thailand","1976","THA","East Asia & Pacific","Upper middle income",NA,NA,NA,1141.80115159835,29.3836,NA,10.9694081826277,13.0467530246007,4.49708516723513,NA,20.2352088906559,22.7050501184421,2.45431118438751,NA,NA,NA,NA
"4457","Tajikistan","1976","TJK","Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81207420447637,NA,NA,NA,NA
"4458","Turkmenistan","1976","TKM","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69369479612964,NA,NA,NA,NA
"4459","Latin America & the Caribbean (IDA & IBRD countries)","1976","TLA",NA,NA,NA,NA,NA,6109.13316660474,NA,NA,11.0147883282417,NA,10.4340024679615,NA,12.0384921971676,13.2234405106605,2.40626314194725,NA,NA,NA,NA
"4460","Timor-Leste","1976","TLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52086638851892,NA,NA,NA,NA
"4461","Middle East & North Africa (IDA & IBRD countries)","1976","TMN",NA,NA,NA,NA,NA,3881.74151444409,NA,NA,20.7534286879654,NA,9.51181296924759,NA,32.7721880681269,32.6619554221371,2.73718815531632,30.02937,NA,NA,NA
"4462","Tonga","1976","TON","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,5.39898,NA,19.1677380506778,NA,NA,NA,26.9358146044559,56.630510846746,1.02026763114036,NA,NA,NA,NA
"4463","South Asia (IDA & IBRD)","1976","TSA",NA,NA,NA,NA,NA,382.261707780924,NA,NA,9.51990023943528,NA,5.98185934188975,NA,7.6512951096687,8.89765530561114,2.37721861161313,NA,NA,NA,NA
"4464","Sub-Saharan Africa (IDA & IBRD countries)","1976","TSS",NA,NA,NA,NA,NA,1508.65986082847,NA,NA,NA,NA,10.9463376517333,NA,23.8607828058034,28.1799422662132,2.82257634050629,NA,NA,NA,NA
"4465","Trinidad and Tobago","1976","TTO","Latin America & Caribbean","High income",NA,NA,NA,8089.16547605248,20.0546,NA,NA,NA,7.99564412294897,NA,NA,NA,1.39098665780109,NA,NA,NA,NA
